id,firstName,lastName,email,phoneNumber,birthDate
1,Ivan,Ivanov,ivanov@yandex.ru,+7(999)324-32-43,1998-12-12
2,Petr,Petrov,petrov@mail.ru,+7(912)123-45-67,1985-05-15
3,Anna,Sidorova,sidorova@gmail.com,+7(901)543-21-09,1990-03-10
4,Olga,Smirnova,smirnova@outlook.com,+7(950)123-33-22,1995-07-20
5,Sergey,Kuznetsov,kuznetsov@mail.ru,+7(987)654-32-10,1988-11-11
6,Elena,Morozova,morozova@yandex.ru,+7(996)223-45-67,1992-06-18
7,Dmitry,Volkov,volkov@gmail.com,+7(903)111-22-33,1980-02-02
8,Ekaterina,Zaitseva,zaitseva@mail.ru,+7(915)345-67-89,2000-01-25
9,Nikolay,Popov,popov@mail.com,+7(918)765-43-21,1993-09-14
10,Maria,Sokolova,sokolova@outlook.com,+7(901)876-54-32,1997-04-05
456,Squid,Game,game@game.ro,123 456 789,1999-03-15
